country,age,gender,selfMade,rank,gdp_country_num,category,state,residenceStateRegion
Australia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Brazil,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,1.0,1.0
China,0.036328871892925434,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Germany,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hong Kong,0.029411764705882353,0.0,0.0,0.0,1.0,0.0,1.0,1.0
India,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Switzerland,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,1.0,1.0
United Kingdom,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,1.0,1.0
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.009283819628647215
