city,n,total_wealth,median_wealth,selfmade_rate
Beijing,68,247200,2100.0,0.9705882352941176
Shanghai,64,179700,1700.0,0.953125
Shenzhen,54,246000,1900.0,0.9814814814814815
Hangzhou,34,213200,2050.0,0.9705882352941176
Guangzhou,28,76400,1550.0,1.0
Ningbo,20,68600,2100.0,1.0
Chengdu,15,53200,2700.0,1.0
Changsha,14,40200,1600.0,1.0
Xiamen,11,18700,1300.0,1.0
Ningde,9,73200,2200.0,1.0
Suzhou,8,20900,2100.0,1.0
Foshan,8,59800,3750.0,0.75
Nanjing,7,11200,1400.0,0.8571428571428571
Quanzhou,7,29000,2200.0,0.8571428571428571
Hefei,7,16600,1500.0,1.0
