country,n,total_wealth,median_wealth,mean_logW,share_records,share_wealth
United States,754,4575100,2900.0,8.122153572700125,0.2856060606060606,0.3747992921977914
China,523,1805500,1900.0,7.7490330305969195,0.19810606060606062,0.14790936199495364
India,157,628700,2100.0,7.815361475258793,0.05946969696969697,0.05150407969328571
Germany,102,462100,2650.0,7.97369358158943,0.038636363636363635,0.037855949143100566
United Kingdom,82,370700,2600.0,8.006329090118548,0.03106060606060606,0.03036831929744077
Russia,79,351000,2500.0,7.946049927142052,0.029924242424242423,0.028754464724579744
Switzerland,78,409900,3100.0,8.16514790349913,0.029545454545454545,0.033579644132778454
Hong Kong,68,321500,2700.0,8.05774195315692,0.025757575757575757,0.026337778942884294
Italy,55,156900,2300.0,7.780267856632894,0.020833333333333332,0.01285349149654291
Singapore,46,138000,2150.0,7.748248520194818,0.017424242424242425,0.011305174165219386
