state,n,total_wealth,median_wealth,selfmade_rate
California,178,882800,2550.0,0.8539325842696629
New York,128,731800,3050.0,0.71875
Florida,94,382200,2550.0,0.723404255319149
Texas,70,576500,3800.0,0.6714285714285714
Illinois,24,102500,3700.0,0.75
Massachusetts,21,86400,2500.0,0.7142857142857143
Pennsylvania,19,91600,2700.0,0.5789473684210527
Nevada,18,89000,2500.0,0.7222222222222222
Georgia,17,74500,4000.0,0.5882352941176471
Connecticut,14,77900,3650.0,0.7857142857142857
Colorado,13,41500,1700.0,0.5384615384615384
Washington,13,350300,3900.0,0.7692307692307693
Arizona,12,32700,2800.0,0.6666666666666666
Tennessee,12,48900,2500.0,0.5833333333333334
Maryland,10,34700,3600.0,0.8
