slice,n,pearson_r,spearman_r
Overall (complete cases),2476,0.045759312331134255,0.09657268201876246
category=Diversified,182,0.07174277425481436,0.11941506751130213
category=Fashion & Retail,252,0.06477530811607272,0.08826003646973668
category=Finance & Investments,345,0.13692767747803206,0.17848146515735852
category=Food & Beverage,201,-0.03688460626182852,0.04997060327567035
category=Healthcare,197,-0.06984246961207627,-0.06967353179875575
category=Manufacturing,298,-0.15076102876642994,-0.06978069427245943
category=Real Estate,162,0.21727689788341548,0.29068801908565994
category=Technology,299,0.09009343007177098,0.0939437537295214
selfMade=Not self-made,755,0.12579097940707662,0.15064300235824077
selfMade=Self-made,1721,0.03230880583501082,0.09505739106738693
