group_a,group_b,n_a,n_b,cliffs_delta,ci_low,ci_high,p_raw,p_fdr_bh,reject_fdr05
Finance & Investments,Manufacturing,372,324,0.17614164343555025,0.09813881421744325,0.25735783386433025,5.972031696952188e-05,0.001099681756494506,True
Manufacturing,Fashion & Retail,324,266,-0.18868931588229834,-0.2858564234660726,-0.10252163974751696,7.854869689246471e-05,0.001099681756494506,True
Finance & Investments,Healthcare,372,201,0.15932434601187612,0.061791512865778636,0.24918518964318176,0.0016276538512137394,0.011393576958496177,True
Fashion & Retail,Healthcare,266,201,0.1702577338869562,0.06843367747727529,0.26227462312497657,0.0016145555175406353,0.011393576958496177,True
Manufacturing,Food & Beverage,324,212,-0.15373864430468204,-0.24884186466340555,-0.05690986780805964,0.0025835180917671897,0.014467701313896263,True
Manufacturing,Technology,324,314,-0.13293229535267753,-0.21899155657780925,-0.04469239010772981,0.0036515301614560027,0.01704047408679468,True
Manufacturing,Diversified,324,187,-0.1337063444906582,-0.22057874496599986,-0.032775879712154225,0.011711341882966745,0.04684536753186698,True
Food & Beverage,Healthcare,212,201,0.1336947338777809,0.012023021684032667,0.24889526424481356,0.018755667884559298,0.06564483759595754,False
Manufacturing,Real Estate,324,193,-0.11971470607049191,-0.21332157935137208,-0.025408990596814434,0.022632167650910376,0.07041118824727673,False
Technology,Healthcare,314,201,0.1124948505878252,0.014607297905377573,0.20527854358779346,0.03109313528894708,0.08706077880905182,False
Healthcare,Diversified,201,187,-0.11325724319578578,-0.22008939260914678,0.0015783382552477447,0.05372662754228705,0.13675868828945795,False
Healthcare,Real Estate,201,193,-0.10228649498620886,-0.20674219575696645,-0.006670662232877258,0.07901704823280821,0.18437311254321917,False
Fashion & Retail,Real Estate,266,193,0.08498578051345981,-0.016206805874790602,0.20689304219096957,0.11985867383443578,0.25815714364340014,False
Finance & Investments,Real Estate,372,193,0.06966961947740821,-0.017323736698423308,0.17505710624547327,0.17403731020703694,0.3480746204140739,False
Fashion & Retail,Diversified,266,187,0.06841301113746934,-0.0383926058461662,0.17256945840537155,0.21478984360657372,0.4009410413989376,False
Technology,Fashion & Retail,314,266,-0.05683396389061827,-0.1524121809300321,0.034435312006129655,0.23779388256771206,0.4161392944934961,False
Finance & Investments,Diversified,372,187,0.052153412684721984,-0.04408961531826806,0.15130635098614215,0.3139669833674972,0.5171220902523483,False
Finance & Investments,Technology,372,314,0.04076775563317581,-0.04693642558728854,0.13429474008629547,0.35709367139854764,0.5554790443977408,False
Food & Beverage,Real Estate,212,193,0.04800078209013589,-0.06192870759605044,0.16612938703685598,0.40395124963150664,0.5952965784043256,False
Fashion & Retail,Food & Beverage,266,212,0.03465030500780252,-0.05411760533408994,0.14348267484749608,0.5149429585851975,0.7209201420192765,False
Food & Beverage,Diversified,212,187,0.030294622137019472,-0.09653289274543436,0.14343406316214308,0.6015248771745167,0.7866883965258481,False
Technology,Food & Beverage,314,212,-0.02358490566037736,-0.12757180627328446,0.08346352601850733,0.646208325717661,0.7866883965258481,False
Finance & Investments,Food & Beverage,372,212,0.023191823899371068,-0.06906446540880504,0.1242718477378778,0.6409745915217905,0.7866883965258481,False
Technology,Real Estate,314,193,0.02211148146925844,-0.07917189201676512,0.1250099006633444,0.6758125038070786,0.7884479211082583,False
Manufacturing,Healthcare,324,201,-0.018303544008353295,-0.11418140777593512,0.09741992199496341,0.7242679692314478,0.8111801255392215,False
Finance & Investments,Fashion & Retail,372,266,-0.010176651305683564,-0.10113918869755031,0.0762000768049155,0.8264883756060841,0.8570990561840872,False
Real Estate,Diversified,193,187,-0.014352608683605331,-0.13230999418137485,0.11091754176941619,0.8090697850678914,0.8570990561840872,False
Technology,Diversified,314,187,0.004274668755747811,-0.0970094349262577,0.11175363602302515,0.9364017267129683,0.9364017267129683,False
